ETF,is_equity,is_international,is_gov,is_credit,is_macro,needs_review
GSY,0,0,1,1,0,1
GTO,0,0,1,1,0,1
GXG,1,1,0,0,0,0
HAIL,1,0,0,0,0,0
HAWX,0,1,0,0,1,0
HDEF,1,1,0,0,0,0
HEDJ,1,1,0,0,0,0
HEEM,0,1,0,0,1,0
HEFA,0,1,0,0,1,0
HEWJ,0,1,0,0,1,0
HEZU,0,1,0,0,1,0
HFXI,0,1,0,0,1,0
HJPX,0,1,0,0,1,0
HMOP,0,0,0,1,0,0
HNDL,1,0,0,0,0,0
HOMZ,1,0,0,0,0,0
HSCZ,0,1,0,0,1,0
HSRT,0,0,0,1,0,0
HTAB,0,0,1,1,0,1
HTUS,1,0,0,0,0,0
HYDB,0,0,0,1,0,0
HYEM,0,1,0,1,0,0
HYGH,0,0,0,1,0,0
HYGV,0,0,0,1,0,0
HYHG,0,0,0,1,0,0
HYZD,0,0,0,1,0,0
IAGG,0,1,1,1,0,1
IAI,1,0,0,0,0,1
IAK,1,0,0,0,0,1
IAU,0,0,0,0,1,0
ICF,1,0,0,0,0,0
ICOW,1,1,0,0,0,0
ICSH,0,0,1,1,0,1
ICVT,1,0,0,1,0,1
IDEV,1,1,0,0,0,0
IDHQ,1,1,0,0,0,0
IDMO,1,1,0,0,0,0
IDOG,1,1,0,0,0,0
IDX,1,1,0,0,0,1
IEFN,1,0,0,0,0,0
IEHS,1,0,0,0,0,1
IEI,0,0,1,0,0,0
IEIH,1,0,0,0,0,1
IEO,0,0,0,0,1,0
IETC,1,0,0,0,0,0
IEUS,1,1,0,0,0,0
IFRA,1,0,0,0,0,1
IGBH,0,0,0,1,0,0
IGEB,0,0,0,1,0,0
IGM,1,0,0,0,0,0
IGRO,1,1,0,0,0,0
IGSB,0,0,0,1,0,0
IHDG,1,1,0,0,0,0
IHF,1,0,0,0,0,0
IHI,1,0,0,0,0,1
IJH,1,0,0,0,0,0
IJJ,1,0,0,0,0,0
IJR,1,0,0,0,0,0
IJS,1,0,0,0,0,0
IJT,1,0,0,0,0,0
ILCB,1,0,0,0,0,0
ILCG,1,0,0,0,0,0
IMCB,1,0,0,0,0,0
IMCG,1,0,0,0,0,0
IMCV,1,0,0,0,0,0
INCO,1,0,0,0,0,0
INDS,1,0,0,0,0,0
IOO,1,1,0,0,0,0
IPAC,1,1,0,0,0,0
IPKW,1,1,0,0,0,0
IQDY,1,1,0,0,0,0
IQIN,1,1,0,0,0,0
IQLT,1,1,0,0,0,0
ISCF,1,1,0,0,0,0
ISDX,1,1,0,0,0,0
ISMD,1,0,0,0,0,0
ITB,1,0,0,0,0,0
ITOT,1,0,0,0,0,0
IUS,1,0,0,0,0,0
IUSG,1,0,0,0,0,0
IUSS,1,0,0,0,0,1
IUSV,1,0,0,0,0,0
IVOO,1,0,0,0,0,0
IVOV,1,0,0,0,0,0
IVV,1,0,0,0,0,0
IVW,1,0,0,0,0,0
IWB,1,0,0,0,0,0
IWF,1,0,0,0,0,0
IWL,1,0,0,0,0,0
IWR,1,0,0,0,0,0
IWY,1,0,0,0,0,0
IXC,1,1,0,0,0,0
IXN,1,1,0,0,0,0
IYE,1,0,0,0,0,0
IYG,1,0,0,0,0,1
IYH,1,0,0,0,0,1
IYK,1,0,0,0,0,0
IYW,1,0,0,0,0,0
JCPB,0,0,1,1,0,1
JDIV,1,1,0,0,0,0
JHMF,1,0,0,0,0,0
JHMH,1,0,0,0,0,0
JHMI,1,0,0,0,0,0
JHMM,1,0,0,0,0,0
JHMS,1,0,0,0,0,0
JHMT,1,0,0,0,0,0
JMBS,0,0,0,1,0,0
JMST,0,0,0,1,0,0
JMUB,0,0,0,1,0,0
JPEM,1,1,0,0,0,0
JPME,1,0,0,0,0,0
JPSE,1,0,0,0,0,0
JPST,0,0,1,1,0,1
JPUS,1,0,0,0,0,0
JUST,1,0,0,0,0,0
JVAL,1,0,0,0,0,0
KARS,1,0,0,0,0,0
KBA,1,1,0,0,0,0
KBND,0,1,0,1,0,0
KBWP,1,0,0,0,0,1
KCE,1,0,0,0,0,0
KGRN,1,1,0,0,0,0
KMED,1,1,0,0,0,1
KNG,1,0,0,0,0,0
KOMP,1,0,0,0,0,0
KORP,0,0,0,1,0,0
KURE,1,1,0,0,0,0
LEAD,1,0,0,0,0,0
LGOV,0,0,1,0,0,1
LIT,1,1,0,0,0,1
LMBS,0,0,1,1,0,1
LQDH,0,0,0,1,0,0
LQDI,0,0,0,1,0,0
LSST,0,0,1,1,0,1
LTPZ,0,0,1,0,0,0
LVHI,1,1,0,0,0,0
MAGA,1,0,0,0,0,0
MBB,0,0,0,1,0,0
MDYV,1,0,0,0,0,0
MFDX,1,1,0,0,0,0
MFEM,1,1,0,0,0,0
MFUS,1,0,0,0,0,0
MGC,1,0,0,0,0,1
MGK,1,0,0,0,0,0
MGV,1,0,0,0,0,0
MLPX,1,1,0,0,0,0
MMIN,0,0,0,1,0,0
MMIT,0,0,0,1,0,0
MOAT,1,0,0,0,0,1
MOTG,1,1,0,0,0,0
MUST,0,0,0,1,0,0
NACP,1,0,0,0,0,1
NANR,1,0,0,0,0,0
NEAR,0,0,1,1,0,1
NOBL,1,0,0,0,0,0
NUDM,1,1,0,0,0,0
NUEM,1,1,0,0,0,0
NULG,1,0,0,0,0,0
NUMG,1,0,0,0,0,0
NURE,1,0,0,0,0,0
NUSC,1,0,0,0,0,0
NYF,0,0,0,1,0,0
OEF,1,0,0,0,0,0
OMFL,1,0,0,0,0,0
OMFS,1,0,0,0,0,0
ONEQ,1,0,0,0,0,0
ONEV,1,0,0,0,0,0
ONEY,1,0,0,0,0,0
OPER,0,0,1,0,0,1
OUSA,1,0,0,0,0,0
PAVE,1,0,0,0,0,1
PBUS,1,0,0,0,0,0
PDBC,0,0,0,0,1,0
PEXL,1,0,0,0,0,0
PEY,0,0,0,1,0,0
PFF,0,0,0,1,0,0
PFFA,0,0,0,1,0,0
PFXF,0,0,0,1,0,0
PHDG,1,0,0,0,0,0
PHO,1,0,0,0,0,1
PHYL,0,0,0,1,0,0
PICK,1,1,0,0,0,0
PID,1,1,0,0,0,0
PIE,1,1,0,0,0,0
PKW,1,0,0,0,0,0
PLW,0,0,1,0,0,0
PPA,1,0,0,0,0,0
PRF,1,0,0,0,0,0
PRFZ,1,0,0,0,0,1
PSC,1,0,0,0,0,0
PSCC,1,0,0,0,0,0
PSCH,1,0,0,0,0,0
PSCI,1,0,0,0,0,0
PSCM,1,0,0,0,0,0
PSET,1,0,0,0,0,0
PSI,1,0,0,0,0,0
PSMC,1,1,1,1,0,1
PSMG,1,0,0,0,0,0
PSMM,1,1,1,1,0,1
PSR,1,0,0,0,0,0
PTF,1,0,0,0,0,0
PTH,1,0,0,0,0,0
PTNQ,1,0,0,0,0,0
PULS,0,0,1,1,0,1
PWS,1,1,1,1,0,1
PXE,1,0,0,0,0,0
PXF,1,1,0,0,0,0
PY,1,0,0,0,0,0
PZT,0,0,0,1,0,0
QARP,1,0,0,0,0,0
QDIV,1,1,0,0,0,0
QDYN,1,0,0,0,0,0
QEFA,1,1,0,0,0,0
QGRO,1,0,0,0,0,0
QINT,1,1,0,0,0,0
QLD,1,0,0,0,0,0
QMOM,1,0,0,0,0,0
QQEW,1,0,0,0,0,0
QQQ,1,0,0,0,0,0
QQQE,1,0,0,0,0,0
QTEC,1,0,0,0,0,0
QTUM,1,0,0,0,0,0
QWLD,1,1,0,0,0,0
RDVY,1,0,0,0,0,0
REMX,1,1,0,0,0,1
REZ,1,0,0,0,0,0
RFDA,1,0,0,0,0,0
RFV,1,0,0,0,0,0
RGI,1,0,0,0,0,0
RHS,1,0,0,0,0,0
RIGS,0,0,0,1,0,0
RLY,1,1,1,0,1,1
RNDV,1,0,0,0,0,0
RNSC,1,0,0,0,0,0
RPV,1,0,0,0,0,0
RTH,1,0,0,0,0,0
RTM,1,0,0,0,0,0
RWGV,1,0,0,0,0,0
RWJ,1,0,0,0,0,0
RWK,1,0,0,0,0,0
RWL,1,0,0,0,0,0
RYF,1,0,0,0,0,0
RYH,1,0,0,0,0,0
RYT,1,0,0,0,0,0
RYU,1,0,0,0,0,0
RZV,1,0,0,0,0,0
SCHB,1,0,0,0,0,1
SCHD,1,0,0,0,0,0
SCHF,1,1,0,0,0,0
SCHG,1,0,0,0,0,0
SCHO,0,0,1,0,0,0
SCHP,0,0,1,0,0,0
SCHR,0,0,1,0,0,0
SCHX,1,0,0,0,0,0
SCZ,1,1,0,0,0,0
SDG,1,1,0,0,0,0
SDY,1,0,0,0,0,0
SHYG,0,0,0,1,0,0
SIMS,1,0,0,0,0,0
SJNK,0,0,0,1,0,0
SKOR,0,0,0,1,0,0
SLQD,0,0,0,1,0,0
SLX,1,1,0,0,0,1
SLY,1,0,0,0,0,0
SLYG,1,0,0,0,0,0
SLYV,1,0,0,0,0,0
SMH,1,0,0,0,0,0
SMIN,1,0,0,0,0,0
SMLF,1,0,0,0,0,0
SMMD,1,0,0,0,0,0
SOXX,1,0,0,0,0,0
SPEM,1,1,0,0,0,1
SPGM,1,1,0,0,0,0
SPGP,1,0,0,0,0,0
SPHB,1,0,0,0,0,0
SPHQ,1,0,0,0,0,0
SPHY,0,0,0,1,0,0
SPIP,0,0,1,0,0,0
SPLG,1,0,0,0,0,0
SPMO,1,0,0,0,0,0
SPSB,0,0,0,1,0,0
SPSM,1,0,0,0,0,0
SPTI,0,0,1,0,0,0
SPTL,0,0,1,0,0,0
SPTM,1,0,0,0,0,0
SPTS,0,0,1,0,0,0
SPVM,1,0,0,0,0,0
SPXE,1,0,0,0,0,0
SPXN,1,0,0,0,0,0
SPY,1,0,0,0,0,0
SPYG,1,0,0,0,0,0
SPYV,1,0,0,0,0,0
SPYX,1,0,0,0,0,0
SQLV,1,0,0,0,0,0
SRLN,0,0,0,1,0,0
SRVR,1,0,0,0,0,0
SSPY,1,0,0,0,0,0
SUSA,1,0,0,0,0,0
SUSB,0,0,0,1,0,0
SYLD,1,0,0,0,0,0
TAXF,0,0,0,1,0,0
TDTF,0,0,1,0,0,0
THD,1,0,0,0,0,0
TMFC,1,0,0,0,0,0
TOK,1,1,0,0,0,0
TPYP,1,0,0,0,0,0
TTAC,1,0,0,0,0,1
TTAI,1,1,0,0,0,1
TUR,1,0,0,0,0,0
UCON,0,0,1,1,0,1
UITB,0,0,1,1,0,1
ULST,0,0,1,1,0,1
URTH,1,1,0,0,0,0
USAI,1,0,0,0,0,0
USMF,1,0,0,0,0,0
USSG,1,0,0,0,0,0
USTB,0,0,1,1,0,1
USVM,1,0,0,0,0,0
UTES,1,0,0,0,0,0
VAW,1,0,0,0,0,0
VB,1,0,0,0,0,0
VBR,1,0,0,0,0,0
VCIT,0,0,0,1,0,0
VCR,1,0,0,0,0,0
VCSH,0,0,0,1,0,0
VDE,1,0,0,0,0,0
VEA,1,1,0,0,0,1
VEGI,0,0,0,0,1,0
VFH,1,0,0,0,0,0
VFMO,1,0,0,0,0,0
VFQY,1,0,0,0,0,0
VFVA,1,0,0,0,0,0
VGIT,0,0,1,0,0,0
VGLT,0,0,1,0,0,0
VGSH,0,0,1,0,0,0
VGT,1,0,0,0,0,0
VHT,1,0,0,0,0,0
VIG,1,0,0,0,0,0
VIOG,1,0,0,0,0,0
VIOO,1,0,0,0,0,0
VIOV,1,0,0,0,0,0
VLU,1,0,0,0,0,0
VNLA,0,0,1,1,0,1
VO,1,0,0,0,0,0
VOE,1,0,0,0,0,0
VONE,1,0,0,0,0,0
VONG,1,0,0,0,0,0
VOO,1,0,0,0,0,0
VOOG,1,0,0,0,0,0
VPC,0,0,0,1,0,0
VPL,1,1,0,0,0,1
VPU,1,0,0,0,0,0
VRIG,0,0,0,1,0,0
VSDA,1,0,0,0,0,0
VSMV,1,0,0,0,0,0
VTHR,1,0,0,0,0,0
VTV,1,0,0,0,0,0
VUG,1,0,0,0,0,0
VUSE,1,0,0,0,0,0
VV,1,0,0,0,0,0
VWO,1,1,0,0,0,0
VWOB,0,1,1,0,0,1
VYMI,1,1,0,0,0,0
WFHY,0,0,0,1,0,0
WINC,0,0,1,1,0,1
WOMN,1,0,0,0,0,1
WTV,1,0,0,0,0,0
XAR,1,0,0,0,0,0
XCEM,1,1,0,0,0,1
XHB,1,0,0,0,0,0
XLB,1,0,0,0,0,0
XLE,1,0,0,0,0,0
XLF,1,0,0,0,0,1
XLG,1,0,0,0,0,0
XLK,1,0,0,0,0,0
XLRE,1,0,0,0,0,0
XLU,1,0,0,0,0,0
XLV,1,0,0,0,0,0
XLY,1,0,0,0,0,0
XMHQ,1,0,0,0,0,0
XMMO,1,0,0,0,0,0
XMVM,1,0,0,0,0,0
XSD,1,0,0,0,0,0
XSMO,1,0,0,0,0,0
XSOE,1,1,0,0,0,1
XSVM,1,0,0,0,0,0
XTL,1,0,0,0,0,0
YLD,0,0,0,1,0,0
ZROZ,0,0,1,0,0,0
